id	term	variants	translation	stem	forms	note	category	status
tradefall	tradefall		Торгоспад			Назва варіанта зовнішності.	Загальне	
nighthill	nighthill		Нічний пагорб			Назва варіанта зовнішності.	Загальне	
baytower	baytower		Вежа затоки			Назва варіанта зовнішності.	Загальне	
whetsong	whetsong		Гостропісня			Назва варіанта зовнішності.	Загальне	
bat	Bat	bats	кажан			Вид істоти.	Істоти	
scorpion	Scorpion	scorpions	скорпіон			Вид істоти.	Істоти	
imp	Imp	imps	імп			Вид монстра.	Істоти	
crab	Crab	crabs|crab's	краб			Вид істоти.	Істоти	
gnome	Gnome	gnomes|gnomes'	гном			Вид істоти.	Істоти	
demon	Demon	demons|Demon's	демон			Вид монстра.	Істоти	
mimic	Mimic	mimics|MIMIC'S	мімік			Монстр, що маскується під скриню.	Істоти	
devil	Devil	devils|Devils'	диявол			Назва боса-диявола.	Персонажі	
cheats	Cheats	cheat codes|cheated	чити			Параметр сервера, що дозволяє чити.	Механіки	
friendly_fire	Friendly Fire		вогонь по своїх			Можливість завдавати шкоди союзникам.	Механіки	
trap	Trap	Traps|[Traps]|trap-infested	пастка			Пастки; параметр сервера керує їхньою наявністю.	Механіки	
adrian	Adrian		Адріан			Ім’я крамаря.	Персонажі	
bob	Bob		Боб			Ім’я крамаря.	Персонажі	
carmack	Carmack		Кармак			Ім’я крамаря.	Персонажі	
derek	Derek		Дерек			Ім’я крамаря.	Персонажі	
error	Error		Еррор			Ім’я крамаря.	Персонажі	
felix	Felix		Фелікс			Ім’я крамаря.	Персонажі	
geoff	Geoff		Джефф			Ім’я крамаря.	Персонажі	
harold	Harold		Гарольд			Ім’я крамаря.	Персонажі	
izchak	Izchak		Іцхак			Ім’я крамаря.	Персонажі	
jesse	Jesse		Джессі			Ім’я крамаря.	Персонажі	
ken	Ken		Кен			Ім’я крамаря.	Персонажі	
luke	Luke		Люк			Ім’я крамаря.	Персонажі	
marty	Marty		Марті			Ім’я крамаря.	Персонажі	
norian	Norian		Норіан			Ім’я крамаря.	Персонажі	
oliver	Oliver		Олівер			Ім’я крамаря.	Персонажі	
peter	Peter		Пітер			Ім’я крамаря.	Персонажі	
quentin	Quentin		Квентін			Ім’я крамаря.	Персонажі	
romero	Romero		Ромеро			Ім’я крамаря.	Персонажі	
sidney	Sidney		Сідні			Ім’я крамаря.	Персонажі	
tom	Tom		Том			Ім’я крамаря.	Персонажі	
ulf	Ulf		Ульф			Ім’я крамаря.	Персонажі	
vern	Vern		Верн			Ім’я крамаря.	Персонажі	
wallace	Wallace		Воллес			Ім’я крамаря.	Персонажі	
xavier	Xavier		Ксав'єр			Ім’я крамаря.	Персонажі	
yoshi	Yoshi		Йоші			Ім’я крамаря.	Персонажі	
zeb	Zeb		Зеб			Ім’я крамаря.	Персонажі	
none	None	[None]	немає			Рівень володіння навичкою.	Механіки	
novice	Novice	novices	новачок			Рівень володіння навичкою.	Механіки	
basic	Basic		базовий			Рівень володіння навичкою.	Механіки	
skilled	Skilled		вправний			Рівень володіння навичкою.	Механіки	
expert	Expert		експерт			Рівень володіння навичкою.	Механіки	
master	Master	master's	майстер			Рівень володіння навичкою.	Механіки	
legend	Legend	Legends|LEGENDARY|legendary skill|legendary ability	легенда			Рівень володіння навичкою.	Механіки	
chest	chest	chests|chest's	скриня			Скриня для зберігання предметів.	Предмети	
mana	mana		мана			Ресурс для застосування заклять.	Механіки	
cloak	cloak	CLOAKS	плащ			Плащ; тип спорядження.	Предмети	
amulet	amulet	AMULETS	амулет			Амулет; тип спорядження.	Предмети	
shield	shield	SHIELDS|shielded	щит			Щит; тип спорядження.	Предмети	
door	door	doors	двері			Двері; об'єкт оточення.	Предмети	
chair	chair		стілець			Стілець; предмет меблів.	Предмети	
table	table		стіл			Стіл; предмет меблів.	Предмети	
confused	confused	[Confused]	спантеличений			Стан спантеличення.	Механіки	
slowed	slowed		уповільнений			Стан уповільнення.	Механіки	
asleep	asleep		сон			Стан сну.	Механіки	
gate	gate	gates	брама			Брама; об'єкт оточення.	Предмети	
boulder	boulder	boulders|[Boulders]	валун			Валун; рухомий об'єкт і небезпека.	Предмети	
sokoban	Sokoban		Сокобан			Назва рівня-головоломки; відсилання до однойменної гри.	Локації	
defending	defending	defense|Defend	захист			Захисна дія, що перешкоджає чаклуванню.	Механіки	
unsustain	unsustain	Unsustaining	припинити підтримування			Припинення підтримування закляття.	Механіки	
swimming	swimming	Swim	плавання			Плавання; спосіб пересування.	Механіки	
arrow	arrow	Arrows	стріла			Стріла; боєприпас.	Предмети	
armor	armor	armored|armors	обладунок			Обладунок; захисне спорядження.	Предмети	
poison	poison	poisons|poisoned|[Poison/Slow]|[Poison]|[Poison/Knockback]|poisonous	отруєння			Накладання отруєння.	Механіки	
beartrap	beartrap	beartraps	капкан			Капкан; пастка.	Предмети	
torch	torch	torches	смолоскип			Смолоскип; джерело світла.	Предмети	
fountain	fountain	Fountains	фонтан			Фонтан; інтерактивний об'єкт.	Предмети	
holy_water	holy water		свята вода			Свята вода.	Предмети	
bless	bless	blesses	благословляти			Надання спорядженню благословення.	Механіки	
equipment	equipment	Equips	спорядження			Загальна назва спорядження.	Предмети	
gold_piece	gold piece	gold pieces|gold|[Gold]|G	золота монета			Золота монета; одиниця валюти.	Предмети	
johnny_yeast	Johnny Yeast		Джонні Дріжджі			Ім'я в жартівливій епітафії.	Персонажі	
blake	Blake		Блейк			Ім'я в жартівливій епітафії.	Персонажі	
weird_ed	Weird Ed		Дивний Ед			Ім'я в епітафії; відсилання до іншої гри.	Персонажі	
rest_in_peace	Rest in Peace		Спочивай з миром			Усталена формула епітафії.	Загальне	
r_i_p	R.I.P.		R.I.P.			Усталене скорочення надгробної формули.	Загальне	
sir_jim	Sir Jim		сер Джим			Ім'я з титулом у жартівливій епітафії.	Персонажі	
mary_poppins	Mary Poppins		Мері Поппінс			Ім'я персонажки; культурне відсилання.	Персонажі	
horace_p_fetch	Horace P. Fetch		Горацій П. Фетч			Ім'я в жартівливій епітафії.	Персонажі	
julian	Julian		Джуліан			Ім'я в жартівливій епітафії.	Персонажі	
ingrid	Ingrid		Інгрід			Ім'я в жартівливій епітафії.	Персонажі	
sir_robin	Sir Robin		сер Робін			Ім'я з титулом; культурне відсилання.	Персонажі	
russian_roulette	Russian Roulette		російська рулетка			Назва гри, згаданої в епітафії.	Загальне	
mitch	Mitch		Мітч			Ім'я в жартівливій епітафії.	Персонажі	
the_proto_pegasus	The Proto Pegasus		Протопегас			Власна назва в жартівливій епітафії.	Персонажі	
headstone	headstone		надгробок			Надгробок; об'єкт з епітафією.	Предмети	
party	party	parties	група			Група гравців для спільного проходження.	Механіки	
ladder	ladder		драбина			Драбина для переходу між рівнями.	Предмети	
exit	exit	Exits|[Exits]	вихід			Вихід із поточного рівня.	Локації	
portal	portal	[Portal]	портал			Портал для переходу між локаціями.	Предмети	
ring_of_conflict	ring of conflict	rings of conflict	перстень розбрату			Магічний перстень, що спричиняє ворожнечу навколо носія.	Предмети	
lamp_oil	lamp oil		лампова олія			Лампова олія у жартівливій пропозиції крамаря.	Предмети	
rope	rope		мотузка			Мотузка у переліку товарів.	Предмети	
bomb	bomb	Bombs	бомба			Бомби у переліку товарів.	Предмети	
ruby	ruby		рубін			Коштовне каміння, згадане як оплата.	Предмети	
enchanted	enchanted		зачарований			Наявність магічних властивостей у предмета.	Механіки	
cursed	cursed		проклятий			Проклятий стан предмета.	Механіки	
weapon	weapon	Weapons|weaponry	зброя			Категорія зброї.	Предмети	
picture_book	picture book	picture books	книжка з малюнками			Книжка з малюнками.	Предмети	
skill	skill	skills	навичка			Навички, що поліпшуються від використання.	Механіки	
canned_food	canned food		консервована їжа			Консервована їжа.	Предмети	
greasy	greasy	[Greasy]	засмальцьований			Стан забруднених жиром рук.	Механіки	
towel	towel	towels	рушник			Рушник для очищення.	Предмети	
paralysis	paralysis	paralyze|[Paralysis]|[Paralyze]	параліч			Ефект паралічу від ужалення.	Механіки	
mirror	mirror	Mirrors	дзеркало			Дзеркало з особливими ефектами.	Предмети	
identification	identification	identify|identifying|[Identify]|Identifies	визначення			Визначення властивостей предмета.	Механіки	
tinkering	Tinkering	TINKERED|tinkering skill|tinkerers|tinkerer|[Tinkering]|tinker|tinkerer's|[Tinker]	майстрування			Назва навички.	Механіки	
stealth	Stealth	stealthy|[Stealth]	потайність			Назва навички.	Механіки	
trading	Trading	trade skill|TRADING SKILL|trades|trade	торгівля			Назва навички.	Механіки	
lore	Lore	LORE BOOKS	знання			Назва навички.	Механіки	
thaumaturgy	Thaumaturgy	[Thaumaturgy]|Thauma	тавматургія			Назва магічної навички.	Механіки	
leader	Leader		лідерство			Назва навички лідерства в цьому списку.	Механіки	
mysticism	Mysticism	[Mysticism]	містицизм			Назва магічної навички.	Механіки	
sorcery	Sorcery	[Sorcery]	чаклунство			Назва магічної навички.	Механіки	
ranged	Ranged	ranged attack|ranged attacks|ranged skill|[Ranged]	дальній бій			Навичка дистанційної зброї.	Механіки	
sword	Sword	SWORDS|[Swords]	меч			Навичка володіння мечами.	Механіки	
mace	Mace	MACES|MACE SKILL|[Maces]|[Mace]	булава			Навичка володіння булавами.	Механіки	
axe	Axe	AXES|[Axes]	сокира			Навичка володіння сокирами.	Механіки	
polearm	Polearm	POLEARMS|POLEARM SKILL|[Polearm]	древкова зброя			Навичка древкової зброї.	Механіки	
wall_mounted_torch	wall-mounted torch		настінний смолоскип			Настінний смолоскип.	Предмети	
campfire	campfire		багаття			Багаття як об'єкт оточення.	Предмети	
sink	sink	sinks	раковина			Інтерактивна раковина.	Предмети	
iron_portcullis	iron portcullis		залізна опускна решітка			Залізна опускна решітка.	Предмети	
spike_trap	spike trap	Spikes|Spike Traps	пастка з шипами			Пастка із шипами.	Предмети	
lever	lever	LEVERS	важіль			Інтерактивний важіль.	Предмети	
mysterious_portal	mysterious portal		таємничий портал			Таємничий портал як об'єкт переходу.	Предмети	
multiplayer	multiplayer		багатокористувацька гра			Багатокористувацький режим гри.	Механіки	
noclip	noclip		проходження крізь перешкоди			Чит проходження крізь перешкоди.	Механіки	
god_mode	god mode		режим бога			Чит-режим невразливості.	Механіки	
buddha_mode	buddha mode		режим Будди			Назва чит-режиму.	Механіки	
friendly_mode	friendly mode		дружній режим			Назва режиму дружнього ставлення істот.	Механіки	
singleplayer	singleplayer		однокористувацька гра			Однокористувацький режим гри.	Механіки	
identified	identified		розпізнаний			Стан предмета з визначеними властивостями.	Механіки	
appraisal	Appraisal	Appraising|appraised|Appraise	оцінювання			Процес оцінювання предмета.	Механіки	
spellbook	spellbook	Spellbooks	книга заклять			Книга заклять як тип предмета.	Предмети	
uncursed	uncursed		непроклятий			Непроклятий стан предмета.	Механіки	
scroll_of_identify	scroll of identify		сувій розпізнавання			Сувій ідентифікації предметів.	Предмети	
bleeding	bleeding	[Bleeding]	кровотеча			Стан кровотечі.	Механіки	
tin	tin	tins|tinned	консерва			Консерви як їстівний предмет.	Предмети	
tin_opener	tin opener	Tin Openers	консервний ніж			Інструмент для відкривання консервів.	Предмети	
blindness	blindness	blind|blinded|[Blindness]	сліпота			Стан сліпоти.	Механіки	
pie	pie		пиріг			Пиріг як їстівний предмет.	Предмети	
unidentified	Unidentified		нерозпізнаний			Стан нерозпізнаного предмета.	Механіки	
gem	Gem	gems	коштовний камінь			Коштовні камені як категорія предметів.	Предмети	
king_arthur	King Arthur	King Arthur's	король Артур			Іменний персонаж, власник Dyrnwyn.	Персонажі	
dyrnwyn	Dyrnwyn		Дірнвін			Іменний меч-артефакт.	Предмети	
han	Han		Хан			Ім’я в алюзії на Гана Соло.	Персонажі	
ring	Ring	rings	перстень			Каблучки як категорія спорядження.	Предмети	
gungnir	Gungnir		Ґунґнір			Іменний спис-артефакт.	Предмети	
khryselekatos	Khryselekatos		Хриселекатос			Іменний лук-артефакт.	Предмети	
poison_arrow	Poison Arrow	poison arrows	отруйна стріла			Отруйні стріли, якими стріляє артефакт.	Предмети	
minetown	Minetown		Шахтарське містечко			Назва шахтарського поселення.	Локації	
underworld	Underworld	underworld's	Потойбіччя			Прихована підземна локація.	Локації	
minotaur_maze	Minotaur Maze		Лабіринт Мінотавра			Назва лабіринту Мінотавра.	Локації	
funny_bones	Funny Bones	Funny Bones'	Веселі Кістки			Іменний персонаж, власник Parashu.	Персонажі	
parashu	Parashu		Парашу			Іменна сокира-артефакт.	Предмети	
superfly	Superfly		Суперфлай			Ім’я персонажа у відсиланні до Daikatana.	Персонажі	
mimiga	Mimiga		міміґа			Раса у відсиланні до Cave Story.	Раси	
sue	Sue		Сью			Ім’я персонажки у відсиланні до Cave Story.	Персонажі	
teleportitis	Teleportitis		телепортит			Стан, що спричиняє мимовільні телепортації.	Механіки	
lava	Lava		лава			Небезпечний тип поверхні.	Механіки	
water	Water		вода			Вода як середовище, що гасить горіння.	Механіки	
invisibility	Invisibility	invisible|[Invisibility]	невидимість			Закляття невидимості.	Закляття	
levitation	Levitation	levitate|levitates|[Levitation]|Levitating	левітація			Закляття левітації.	Закляття	
hungry	Hungry		голодний			Стан голоду.	Механіки	
very_hungry	Very Hungry		дуже голодний			Стадія сильного голоду.	Механіки	
starving	Starving		вмирає з голоду			Стадія критичного голоду.	Механіки	
level_up	Level Up	[Level Up: +INT]	підвищення рівня			Підвищення рівня персонажа.	Механіки	
staff	staff		посох			Магічний посох	Предмети	
pickaxe	pickaxe	pickaxes	кирка			Кирка	Предмети	
paralyzed	paralyzed	paralyzing	паралізований			Стан паралічу	Механіки	
critical_hit	critical hit	critically hit	критичне влучання			Критичне влучання	Механіки	
auto_kick	Auto-kick	Auto-kicking	автовиключення			Автоматичне виключення гравця	Механіки	
auto_disconnect	Auto disconnect		автовід'єднання			Автоматичне від'єднання від сервера	Механіки	
barony	Barony		Barony			Назва гри	Загальне	
choking	choking		задуха			Стан задухи	Механіки	
moe	Moe		Мо			Автор листа	Персонажі	
maggie	Maggie		Меґґі			Адресатка листа	Персонажі	
lord_jabu_jabu	Lord Jabu Jabu		лорд Джабу-Джабу			Ім'я істоти в цитованому листі	Персонажі	
ruto	Ruto		Руто			Авторка листа	Персонажі	
dopefish	Dopefish		Допфіш			Іменована істота у відсиланні	Персонажі	
devil_s_bastion	Devil's Bastion		Бастіон Диявола			Назва бастіону	Локації	
avatar	Avatar		Аватар			Ім'я або титул адресата у відсиланні	Персонажі	
host	Host	hosting	організатор			Гравець, який веде мережеву гру.	Механіки	
critical_strike	critical strike	CRITICAL STRIKES|[Critical]|[Critical] strikes|Crits|critical	критичний удар			Посилений удар після утримання кнопки атаки.	Механіки	
spellcasting	spellcasting	Casting|Spellbook-Cast|Spellbook-Casting	чаклування			Процес чаклування, який можна перервати.	Механіки	
ally	ally	ally(s)	союзник			Союзна істота або персонаж.	Механіки	
magic_tower	magic tower		магічна вежа			Магічна вежа, джерело смертельної атаки.	Предмети	
ceiling_magic_trap	ceiling magic trap		стельова магічна пастка			Стельова магічна пастка.	Предмети	
arrow_trap	arrow trap	arrow traps	стрілова пастка			Пастка, що стріляє стрілами.	Предмети	
undead	undead		нежить			Збірна назва нежиті.	Істоти	
broken	broken		зламаний			Стан предмета.	Механіки	
decrepit	decrepit		ветхий			Стан предмета.	Механіки	
worn	worn		зношений			Стан предмета.	Механіки	
serviceable	serviceable	SERVICABLE	справний			Стан предмета.	Механіки	
excellent	excellent		відмінний			Стан предмета.	Механіки	
destroyed	destroyed		знищений			Стан предмета.	Механіки	
cracked	cracked		тріснутий			Стан предмета.	Механіки	
rough	rough		необроблений			Стан предмета.	Механіки	
flawed	flawed		дефектний			Стан предмета.	Механіки	
flawless	flawless		бездоганний			Стан предмета.	Механіки	
evaporated	evaporated		випаруваний			Стан зілля.	Механіки	
cloudy	cloudy		каламутний			Стан зілля.	Механіки	
swirly	swirly		вихристий			Стан зілля.	Механіки	
plain	plain		звичайний			Стан зілля.	Механіки	
bubbly	bubbly		шипучий			Стан зілля.	Механіки	
shredded	shredded		пошматований			Стан паперового предмета.	Механіки	
torn	torn		порваний			Стан паперового предмета.	Механіки	
faded	faded		вицвілий			Стан паперового предмета.	Механіки	
marked	marked	Marks|MARK	позначений			Стан паперового предмета.	Механіки	
brand_new	brand new		новісінький			Стан предмета.	Механіки	
rotten	rotten		гнилий			Стан їжі.	Механіки	
mouldy	mouldy		запліснявілий			Стан їжі.	Механіки	
aged	aged	Slightly-aged	залежаний			Стан їжі.	Механіки	
slightly_aged	slightly aged		трохи залежаний			Стан їжі.	Механіки	
fresh	fresh	[Fresh]	свіжий			Стан їжі.	Механіки	
sharur	Sharur		Шарур			Ім'я розмовної булави.	Персонажі	
lockpick	lockpick	pick|lockpicking|lockpicked|lockpicks	відмичка			Інструмент для відмикання замків.	Предмети	
baphomet	Baphomet	Baphomet's	Бафомет			Іменний бос.	Персонажі	
zap_brigade	ZAP Brigade		бригада «ЗАП»			Назва загону, що прибуває на допомогу.	Фракції	
kobold	Kobold	kobolds	кобольд			Вид монстра.	Істоти	
scarab	Scarab	scarabs	скарабей			Жук-монстр.	Істоти	
crystal_golem	Crystal Golem	crystal golems	кристалічний голем			Кристалічний голем.	Істоти	
shadow	Shadow	shadows	тінь			Тіньовий монстр.	Істоти	
cockatrice	Cockatrice	cockatrices|Cockatrice's	кокатрис			Вид монстра.	Істоти	
frosty_lich	Frosty Lich		крижаний ліч			Крижаний ліч, бос.	Персонажі	
fiery_lich	Fiery Lich		вогняний ліч			Вогняний ліч, бос.	Персонажі	
sentrybot	Sentrybot	sentry bots|sentry bot|sentrybots	робот-вартовий			Робот-вартовий.	Істоти	
spellbot	Spellbot	spell bots	робот-заклинач			Робот-заклинач.	Істоти	
gyrobot	Gyrobot	gyrobots|GYROBOT'S	гіробот			Летючий робот.	Істоти	
dummybot	Dummybot	dummybots	робот-манекен			Робот-манекен.	Істоти	
erudyce	Erudyce	Erudyce's	Ерудіса			Ім’я боса у присвійній формі.	Персонажі	
fist	fist	fists	кулак			Позначення атаки кулаками.	Механіки	
thrown	thrown	throwing	метальний			Категорія атаки метальними предметами.	Механіки	
melee	melee	Melee Fighting|melee attack|melee attacks|melee damage	ближній бій			Категорія атаки ближнього бою.	Механіки	
total_attack	Total Attack		загальна атака			Сумарне значення атаки.	Механіки	
str	STR		СИЛ			скорочення від «сила»; в оригіналі STR	Механіки	
dex	DEX	-DEX	СПР			скорочення від «спритність»; в оригіналі DEX	Механіки	
tool	tool	TOOLS	інструмент			Категорія інструментів.	Предмети	
damage	Damage	Damaging|[Damaging Spells]|damaged	шкода			Величина завданої шкоди.	Механіки	
atk	ATK		АТК			скорочення від «атака»; в оригіналі ATK	Механіки	
guild	Guild	Guilds	гільдія			Гільдія, яка прислала прибульців.	Фракції	
caves	Caves	Cave	Печери			Печери, вхід до яких запечатано.	Локації	
herx	Herx	Herx's	Геркс			Ім’я померлого володаря.	Персонажі	
monster	monster	monsters|[Monsters]	монстр			Загальна назва монстрів.	Істоти	
crystal	crystal	CRYSTALS	кристал			Кристал, з яким можна взаємодіяти.	Предмети	
empty_bottle	empty bottle	empty bottles	порожня пляшка			Порожня пляшка.	Предмети	
pedestal	pedestal		п'єдестал			П'єдестал для розміщення сфери.	Предмети	
primordial_artifact	primordial artifact		первісний артефакт			Опис потрібного п'єдесталу артефакту.	Предмети	
orb	orb	orbs	сфера			Сфера для механізму п'єдесталу.	Предмети	
boots	boots		чоботи			Чоботи як спорядження.	Предмети	
footwear	footwear		взуття			Загальна категорія взуття.	Предмети	
life_force	life force		життєва сила			Життєва сила, яку висмоктує магія.	Механіки	
reflect_magic	Reflect Magic		відбиття магії			Закляття відбиття магії.	Закляття	
vampiric_aura	Vampiric Aura		вампірична аура			Закляття вампіричної аури.	Закляття	
hat	hat	HATS	капелюх			Капелюх як спорядження.	Предмети	
invisibility_cloak	invisibility cloak		плащ невидимості			Плащ, що надає невидимість.	Предмети	
bed	bed		ліжко			Ліжко як об'єкт оточення.	Предмети	
bunkbed	bunkbed		двоярусне ліжко			Двоярусне ліжко.	Предмети	
podium	podium		трибуна			Трибуна як об'єкт оточення.	Предмети	
piston	piston	pistons	поршень			Поршні як об'єкти оточення.	Предмети	
column	column		колона			Колона як об'єкт оточення.	Предмети	
stalagmite	stalagmite		сталагміт			Сталагміт як об'єкт оточення.	Предмети	
stalactite	stalactite	stalagtite	сталактит			Сталактит; в оригінальному рядку описка.	Предмети	
bolt	bolt		болт			Болт як снаряд.	Предмети	
arcane_protection	arcane protection		магічний захист			Магічний захист від відмикання.	Механіки	
helmet	helmet	helmets	шолом			Шолом.	Предмети	
breastpiece	breastpiece		нагрудник			Нагрудний обладунок.	Предмети	
gloves	gloves		рукавички			Парне спорядження для рук.	Предмети	
charm	charm	charmed|[Charm]	причарування			Ефект магічного підкорення істоти.	Механіки	
polymorph	polymorph	polymorphs|[Polymorph]|polymorphed	перетворення			Ефект зміни форми істоти.	Механіки	
potion_of_polymorph	potion of polymorph		зілля поліморфії			Зілля зміни форми.	Предмети	
soul	soul	souls	душа			Душа призваного союзника, що повертається до власника.	Механіки	
rank	rank		ранг			Ранг розвитку призваного союзника.	Механіки	
curse	curse	Curses|[Curse]	прокляття			Прокляття персонажа.	Механіки	
unarmed	Unarmed		без зброї			Позначення бою без зброї.	Механіки	
stunned	stunned		оглушений			Стан оглушення.	Механіки	
knockback	knockback	knocked back|knock|[Knockback]	відкидання			Ефект відкидання персонажа.	Механіки	
blessed	blessed		благословенний			Благословенний стан предмета.	Механіки	
conjurer	Conjurer		прикликач			Ігровий клас.	Класи	
accursed	Accursed		проклятий			Ігровий клас.	Класи	
mesmer	Mesmer	Mesmers	месмерист			Ігровий клас.	Класи	
brewer	Brewer	brewers|brewer's	бровар			Ігровий клас.	Класи	
mechanist	Mechanist	mechanists	механіст			Ігровий клас.	Класи	
punisher	Punisher	Punishers	каратель			Ігровий клас.	Класи	
shaman	Shaman	Shamans	шаман			Ігровий клас.	Класи	
hunter	Hunter	Hunters|HUNTERS'	мисливець			Ігровий клас.	Класи	
hangover	hangover	Hangovers	похмілля			Стан похмілля.	Механіки	
health	health		здоров'я			Ресурс здоров'я персонажа.	Механіки	
hamlet	Hamlet	Hamlet's	Поселення			Поселення.	Локації	
crystal_caves	Crystal Caves		Кришталеві печери			Назва печер.	Локації	
magicians_guild	Magicians' Guild	Magicians’ Guild	гільдія магів			Гільдія магів.	Фракції	
hunters_guild	Hunters' Guild		гільдія мисливців			Гільдія мисливців.	Фракції	
magician	Magician	Magicians|MAGICIANS'|Magician's	маг			Члени гільдії магів.	Загальне	
archmagister	Archmagister	Archmagisters|Archmagisters'	архімагістр			Титул керівників гільдії магів.	Загальне	
masons_guild	Masons' Guild		гільдія мулярів			Гільдія мулярів.	Фракції	
church	Church		Церква			Релігійна організація.	Фракції	
merchants_guild	Merchants' Guild		гільдія торговців			Гільдія торговців.	Фракції	
artifact	artifact	artifacts	артефакт			Рідкісні артефакти.	Предмети	
shrine	shrine	Shrines	святиня			Святиня, що надає посилення.	Предмети	
blindfold	blindfold		пов'язка на очі			Пов'язка на очі.	Предмети	
cape	cape		плащ			Плащ.	Предмети	
brawler_mode	Brawler-mode		режим забіяки			Режим з обмеженнями способів атаки.	Механіки	
brawler	Brawler	Brawler Achievement	Забіяка			Досягнення за дотримання бойових обмежень.	Механіки	
leadership	Leadership	LEADERSHIP SKILL	лідерство			навичка керування союзниками	Механіки	
simple	simple		простий			рівень складності або якості предмета	Механіки	
complex	complex		складний			рівень складності або якості предмета	Механіки	
intricate	intricate		вигадливий			рівень складності або якості предмета	Механіки	
artisan	artisan		майстерний			рівень складності або якості предмета	Механіки	
noisemaker	noisemaker		шумова приманка			пристрій-приманка, що створює шум	Предмети	
item	Item	items|item's	предмет			предмети в інвентарі	Предмети	
empty_flask	Empty Flask	empty flasks	порожня колба			порожня колба для рідин	Предмети	
alchemy	Alchemy		алхімія			механіка алхімії	Механіки	
base_alchemy_ingredient	Base Alchemy Ingredient		основний алхімічний інгредієнт			основний алхімічний інгредієнт	Механіки	
